config,true,pred,count
erm,dog,dog,134
erm,dog,elephant,305
erm,dog,giraffe,163
erm,dog,guitar,0
erm,dog,horse,92
erm,dog,house,0
erm,dog,person,78
erm,elephant,dog,3
erm,elephant,elephant,716
erm,elephant,giraffe,10
erm,elephant,guitar,0
erm,elephant,horse,1
erm,elephant,house,0
erm,elephant,person,10
erm,giraffe,dog,3
erm,giraffe,elephant,62
erm,giraffe,giraffe,602
erm,giraffe,guitar,10
erm,giraffe,horse,53
erm,giraffe,house,0
erm,giraffe,person,23
erm,guitar,dog,0
erm,guitar,elephant,16
erm,guitar,giraffe,36
erm,guitar,guitar,549
erm,guitar,horse,0
erm,guitar,house,0
erm,guitar,person,7
erm,horse,dog,8
erm,horse,elephant,145
erm,horse,giraffe,176
erm,horse,guitar,4
erm,horse,horse,464
erm,horse,house,0
erm,horse,person,19
erm,house,dog,0
erm,house,elephant,9
erm,house,giraffe,5
erm,house,guitar,2
erm,house,horse,0
erm,house,house,57
erm,house,person,7
erm,person,dog,0
erm,person,elephant,12
erm,person,giraffe,19
erm,person,guitar,0
erm,person,horse,0
erm,person,house,0
erm,person,person,129
dan_dg,dog,dog,0
dan_dg,dog,elephant,0
dan_dg,dog,giraffe,0
dan_dg,dog,guitar,0
dan_dg,dog,horse,0
dan_dg,dog,house,0
dan_dg,dog,person,772
dan_dg,elephant,dog,0
dan_dg,elephant,elephant,0
dan_dg,elephant,giraffe,0
dan_dg,elephant,guitar,0
dan_dg,elephant,horse,0
dan_dg,elephant,house,0
dan_dg,elephant,person,740
dan_dg,giraffe,dog,0
dan_dg,giraffe,elephant,0
dan_dg,giraffe,giraffe,0
dan_dg,giraffe,guitar,0
dan_dg,giraffe,horse,0
dan_dg,giraffe,house,0
dan_dg,giraffe,person,753
dan_dg,guitar,dog,0
dan_dg,guitar,elephant,0
dan_dg,guitar,giraffe,0
dan_dg,guitar,guitar,0
dan_dg,guitar,horse,0
dan_dg,guitar,house,0
dan_dg,guitar,person,608
dan_dg,horse,dog,0
dan_dg,horse,elephant,0
dan_dg,horse,giraffe,0
dan_dg,horse,guitar,0
dan_dg,horse,horse,0
dan_dg,horse,house,0
dan_dg,horse,person,816
dan_dg,house,dog,0
dan_dg,house,elephant,0
dan_dg,house,giraffe,0
dan_dg,house,guitar,0
dan_dg,house,horse,0
dan_dg,house,house,0
dan_dg,house,person,80
dan_dg,person,dog,0
dan_dg,person,elephant,0
dan_dg,person,giraffe,0
dan_dg,person,guitar,0
dan_dg,person,horse,0
dan_dg,person,house,0
dan_dg,person,person,160
sam,dog,dog,218
sam,dog,elephant,480
sam,dog,giraffe,28
sam,dog,guitar,0
sam,dog,horse,29
sam,dog,house,0
sam,dog,person,17
sam,elephant,dog,3
sam,elephant,elephant,735
sam,elephant,giraffe,0
sam,elephant,guitar,0
sam,elephant,horse,0
sam,elephant,house,0
sam,elephant,person,2
sam,giraffe,dog,21
sam,giraffe,elephant,188
sam,giraffe,giraffe,502
sam,giraffe,guitar,1
sam,giraffe,horse,33
sam,giraffe,house,0
sam,giraffe,person,8
sam,guitar,dog,0
sam,guitar,elephant,109
sam,guitar,giraffe,64
sam,guitar,guitar,434
sam,guitar,horse,0
sam,guitar,house,0
sam,guitar,person,1
sam,horse,dog,59
sam,horse,elephant,368
sam,horse,giraffe,34
sam,horse,guitar,0
sam,horse,horse,353
sam,horse,house,0
sam,horse,person,2
sam,house,dog,0
sam,house,elephant,17
sam,house,giraffe,7
sam,house,guitar,0
sam,house,horse,0
sam,house,house,56
sam,house,person,0
sam,person,dog,1
sam,person,elephant,87
sam,person,giraffe,10
sam,person,guitar,0
sam,person,horse,0
sam,person,house,0
sam,person,person,62
dan_dg_lambda0.1,dog,dog,377
dan_dg_lambda0.1,dog,elephant,228
dan_dg_lambda0.1,dog,giraffe,27
dan_dg_lambda0.1,dog,guitar,0
dan_dg_lambda0.1,dog,horse,18
dan_dg_lambda0.1,dog,house,0
dan_dg_lambda0.1,dog,person,122
dan_dg_lambda0.1,elephant,dog,19
dan_dg_lambda0.1,elephant,elephant,701
dan_dg_lambda0.1,elephant,giraffe,1
